Geographical Area, Total Population Change - Decade, Natural Increase - Decade, Births - Decade, Deaths - Decade, Total - Decade, International - Decade, Domestic - Decade, Total Population Change - Annual, Natural Increase - Annual, Births - Annual, Deaths - Annual, Total - Annual, International - Annual, Domestic - Annual
".Indianola, MS Micro Area","-4,273",151,"2,955","2,804","-4,515",43,"-4,558","-1,101",-32,275,307,"-1,078",3,"-1,081"
".Iron Mountain, MI-WI Micro Area","-1,057",-776,"2,562","3,338",-268,-7,-261,-131,-87,265,352,-42,-2,-40
".Jackson, OH Micro Area",-806,99,"3,890","3,791",-898,133,"-1,031",47,7,408,401,42,12,30
".Jackson, WY-ID Micro Area","4,143","2,557","3,663","1,106","1,536",706,830,686,245,363,118,437,94,343
".Jacksonville, IL Micro Area","-2,291",-375,"3,824","4,199","-1,907",378,"-2,285",-345,-40,398,438,-306,50,-356
".Jacksonville, TX Micro Area","1,812","1,996","6,916","4,920",-141,156,-297,265,169,722,553,97,3,94
".Jamestown, ND Micro Area",-396,-59,"2,134","2,193",-326,128,-454,-171,9,223,214,-181,8,-189
".Jamestown-Dunkirk-Fredonia, NY Micro Area","-8,004",-674,"12,718","13,392","-7,370","1,524","-8,894",-569,-116,"1,282","1,398",-450,21,-471
".Jasper, AL Micro Area","-3,499","-1,956","7,318","9,274","-1,495",108,"-1,603",-148,-219,750,969,74,-1,75
".Jasper, IN Micro Area",539,"1,279","6,337","5,058",-720,644,"-1,364",63,136,690,554,-72,112,-184
".Jefferson, GA Micro Area","12,516","2,353","7,545","5,192","10,117",213,"9,904","2,652",304,918,614,"2,337",26,"2,311"
".Jennings, LA Micro Area",-224,431,"3,908","3,477",-640,41,-681,-169,-26,384,410,-143,6,-149
".Jesup, GA Micro Area",-170,533,"3,631","3,098",-722,109,-831,117,2,360,358,116,8,108
".Juneau, AK Micro Area",698,"1,767","3,479","1,712","-1,073",617,"-1,690",-63,163,340,177,-227,20,-247
".Kalispell, MT Micro Area","12,879","2,377","10,303","7,926","10,453",30,"10,423","1,789",196,"1,113",917,"1,587",-42,"1,629"
".Kapaa, HI Micro Area","5,198","2,469","7,902","5,433","2,788","2,802",-14,125,90,794,704,39,269,-230
".Kearney, NE Micro Area","3,566","3,205","7,095","3,890",380,728,-348,263,281,712,431,-15,37,-52
".Keene, NH Micro Area","-1,037",-368,"6,223","6,591",-631,565,"-1,196",184,-82,636,718,269,52,217
".Kendallville, IN Micro Area",206,"1,497","5,629","4,132","-1,275",-3,"-1,272",201,177,632,455,27,15,12
".Kennett, MO Micro Area","-2,826",-109,"3,946","4,055","-2,732",195,"-2,927",-347,-90,357,447,-258,29,-287
".Kerrville, TX Micro Area","2,956","-1,875","4,812","6,687","4,829",325,"4,504",185,-217,530,747,403,29,374
".Ketchikan, AK Micro Area",375,677,"1,540",863,-305,358,-663,45,65,153,88,-18,24,-42
".Key West, FL Micro Area","1,138",190,"6,687","6,497",931,"3,279","-2,348",-529,-51,685,736,-477,273,-750
".Kill Devil Hills, NC Micro Area","3,089",208,"3,233","3,025","2,876",244,"2,632",402,-28,332,360,430,40,390
".Kingsville, TX Micro Area","-1,390","1,768","4,171","2,403","-3,210",876,"-4,086",-75,163,408,245,-239,50,-289
".Kinston, NC Micro Area","-3,558",-625,"5,994","6,619","-2,923",261,"-3,184",-41,-160,608,768,122,42,80
".Kirksville, MO Micro Area",-34,577,"3,044","2,467",-613,828,"-1,441",-67,101,343,242,-169,101,-270
".Klamath Falls, OR Micro Area","1,854",234,"7,360","7,126","1,647",85,"1,562",551,-67,767,834,618,-2,620
".Laconia, NH Micro Area","1,228","-1,440","4,828","6,268","2,721",493,"2,228",158,-297,478,775,460,28,432
".La Grande, OR Micro Area","1,091",278,"2,743","2,465",822,178,644,134,-3,277,280,137,11,126
".LaGrange, GA-AL Micro Area","1,967","1,463","11,966","10,503",560,944,-384,-502,36,"1,240","1,204",-542,100,-642
".Lake City, FL Micro Area","4,160",117,"7,437","7,320","4,042",297,"3,745","1,018",-59,804,863,"1,069",4,"1,065"
".Lamesa, TX Micro Area","-1,105",447,"1,710","1,263","-1,597",162,"-1,759",123,54,181,127,70,10,60
".Laramie, WY Micro Area","2,581","1,911","3,659","1,748",660,"1,526",-866,152,143,341,198,6,259,-253
".Las Vegas, NM Micro Area","-2,458",113,"3,098","2,985","-2,603",551,"-3,154",-169,-31,277,308,-139,41,-180
".Laurel, MS Micro Area",-360,"2,015","10,788","8,773","-2,345",130,"-2,475",-140,66,"1,065",999,-203,18,-221
".Laurinburg, NC Micro Area","-1,337",481,"4,177","3,696","-1,827",144,"-1,971",72,9,436,427,66,13,53
".Lawrenceburg, TN Micro Area","2,286",374,"5,275","4,901","1,928",24,"1,904",371,46,585,539,326,-5,331
".Lebanon, MO Micro Area",127,708,"4,388","3,680",-576,-34,-542,127,78,474,396,51,-2,53
".Lebanon, NH-VT Micro Area","-1,486","-1,915","17,387","19,302",591,"2,821","-2,230",79,-326,"1,755","2,081",419,161,258
".Levelland, TX Micro Area",94,993,"2,927","1,934",-897,80,-977,50,105,306,201,-55,-1,-54
".Lewisburg, PA Micro Area",-40,187,"3,719","3,532",-239,337,-576,-94,-20,402,422,-74,2,-76
".Lewisburg, TN Micro Area","3,764",505,"3,508","3,003","3,274",247,"3,027",569,67,411,344,500,15,485
".Lewistown, PA Micro Area",-541,363,"5,315","4,952",-862,148,"-1,010",-73,47,574,527,-117,11,-128
".Lexington, NE Micro Area",-785,"1,721","3,849","2,128","-2,537",938,"-3,475",-155,210,424,214,-366,116,-482
".Liberal, KS Micro Area","-1,522","2,838","4,026","1,188","-4,402",958,"-5,360",-474,293,403,110,-772,106,-878
".Lincoln, IL Micro Area","-1,687",-322,"2,779","3,101","-1,378",126,"-1,504",-294,-48,286,334,-245,13,-258
".Lock Haven, PA Micro Area",-621,169,"3,845","3,676",-778,116,-894,-64,-28,368,396,-33,8,-41
".Logansport, IN Micro Area","-1,281",788,"4,470","3,682","-2,089",817,"-2,906",-206,37,452,415,-242,112,-354
".London, KY Micro Area",24,"1,999","18,156","16,157","-1,919",253,"-2,172",-26,66,"1,876","1,810",-86,-21,-65
".Los Alamos, NM Micro Area","1,419",424,"1,565","1,141",964,690,274,381,62,173,111,318,62,256
".Ludington, MI Micro Area",455,-350,"2,709","3,059",831,78,753,60,-21,285,306,83,4,79
".Lufkin, TX Micro Area",-56,"2,576","10,851","8,275","-2,578",241,"-2,819",-95,74,"1,071",997,-167,6,-173
".Lumberton, NC Micro Area","-3,604","4,701","16,897","12,196","-8,274",511,"-8,785","-1,259",319,"1,697","1,378","-1,578",58,"-1,636"
".Macomb, IL Micro Area","-2,934",-200,"2,631","2,831","-2,771",685,"-3,456",-302,-38,258,296,-267,77,-344
".Madison, IN Micro Area",-92,-55,"3,396","3,451",-12,103,-115,151,22,372,350,133,10,123
".Madisonville, KY Micro Area","-2,232",-527,"4,970","5,497","-1,687",189,"-1,876",-338,-20,525,545,-318,7,-325
".Magnolia, AR Micro Area","-1,095",-173,"2,647","2,820",-949,259,"-1,208",-129,-17,262,279,-111,9,-120
".Malone, NY Micro Area","-1,579",241,"4,513","4,272","-1,846",182,"-2,028",-257,-80,444,524,-177,-6,-171
".Malvern, AR Micro Area",760,-333,"3,298","3,631","1,076",29,"1,047",99,-18,361,379,118,-1,119
".Manitowoc, WI Micro Area","-2,463",-433,"7,431","7,864","-2,018",550,"-2,568",-34,-59,757,816,31,67,-36
".Marietta, OH Micro Area","-1,876","-1,152","5,615","6,767",-671,165,-836,-200,-131,594,725,-66,10,-76
".Marinette, WI-MI Micro Area","-2,648","-1,848","5,293","7,141",-747,54,-801,-199,-179,541,720,-14,1,-15
".Marion, IN Micro Area","-4,294",-561,"7,002","7,563","-3,737",187,"-3,924",-270,-60,750,810,-209,26,-235
".Marion, NC Micro Area",754,-497,"4,199","4,696","1,296",229,"1,067",291,-76,437,513,368,39,329
".Marion, OH Micro Area","-1,412",319,"7,009","6,690","-1,714",270,"-1,984",-334,3,734,731,-336,28,-364
".Marquette, MI Micro Area",-372,-361,"5,794","6,155",24,376,-352,318,-109,570,679,427,30,397
".Marshall, MN Micro Area",-384,"1,313","3,354","2,041","-1,727",853,"-2,580",-109,115,343,228,-225,94,-319
".Marshall, MO Micro Area",-609,228,"2,556","2,328",-833,387,"-1,220",-129,-1,240,241,-129,45,-174
".Marshalltown, IA Micro Area","-1,279",547,"4,962","4,415","-1,836",986,"-2,822",-519,36,514,478,-556,35,-591
".Martin, TN Micro Area","-1,687",-286,"3,177","3,463","-1,409",251,"-1,660",-85,-48,311,359,-34,34,-68
".Martinsville, VA Micro Area","-4,885","-2,765","6,085","8,850","-2,083",187,"-2,270",-566,-400,583,983,-164,6,-170
".Maryville, MO Micro Area","-1,281",270,"2,051","1,781","-1,567",110,"-1,677",-131,9,195,186,-141,4,-145
".Mason City, IA Micro Area","-1,913",-419,"5,015","5,434","-1,478",240,"-1,718",-224,-45,519,564,-178,15,-193
".Mayfield, KY Micro Area",115,525,"4,645","4,120",-394,442,-836,-53,72,492,420,-125,19,-144
".Maysville, KY Micro Area",-420,-4,"1,942","1,946",-414,83,-497,-10,18,208,190,-26,11,-37
".McAlester, OK Micro Area","-2,173",-837,"4,838","5,675","-1,308",42,"-1,350",-216,-108,508,616,-108,3,-111
".McComb, MS Micro Area","-1,113",431,"5,119","4,688","-1,533",22,"-1,555",-92,9,540,531,-100,4,-104
".McMinnville, TN Micro Area","1,453",-63,"4,408","4,471","1,547",339,"1,208",451,2,473,471,450,37,413
".McPherson, KS Micro Area",-644,-404,"3,016","3,420",-236,66,-302,14,-31,305,336,47,0,47
".Meadville, PA Micro Area","-4,121",-615,"8,627","9,242","-3,470",193,"-3,663",-481,-53,908,961,-425,22,-447
".Menomonie, WI Micro Area","1,503","1,165","4,153","2,988",357,315,42,277,110,430,320,171,16,155
".Meridian, MS Micro Area","-8,038","1,025","11,877","10,852","-9,108",235,"-9,343","-1,148",23,"1,199","1,176","-1,173",-26,"-1,147"
".Mexico, MO Micro Area",-143,382,"3,126","2,744",-514,24,-538,-35,37,309,272,-72,4,-76
".Miami, OK Micro Area",-721,-86,"4,051","4,137",-630,134,-764,-192,-61,409,470,-131,15,-146
".Middlesborough, KY Micro Area","-2,659",-402,"3,168","3,570","-2,268",23,"-2,291",-455,-63,316,379,-393,5,-398
".Milledgeville, GA Micro Area","-1,894",-76,"4,813","4,889","-1,923",323,"-2,246",86,-140,460,600,228,31,197
".Minden, LA Micro Area","-2,867",-260,"4,608","4,868","-2,607",46,"-2,653",-452,-79,452,531,-371,5,-376
".Mineral Wells, TX Micro Area","1,057",314,"3,311","2,997",752,86,666,315,9,352,343,306,2,304
".Minot, ND Micro Area","6,176","6,349","11,622","5,273",-344,"2,223","-2,567",-166,603,"1,180",577,-770,117,-887
".Mitchell, SD Micro Area",392,594,"2,758","2,164",-192,204,-396,80,73,281,208,7,-4,11
".Moberly, MO Micro Area",-670,117,"2,640","2,523",-789,42,-831,16,53,292,239,-37,5,-42
".Montrose, CO Micro Area","1,992",216,"4,412","4,196","1,771",43,"1,728",682,-20,448,468,700,16,684
".Morehead City, NC Micro Area","3,010","-1,967","5,430","7,397","4,989",576,"4,413",35,-363,531,894,400,22,378
".Morgan City, LA Micro Area","-5,299","1,655","6,797","5,142","-7,020",590,"-7,610",-493,90,647,557,-584,38,-622
".Moscow, ID Micro Area","2,865","2,029","4,094","2,065",850,"1,233",-383,279,207,422,215,72,52,20
".Moses Lake, WA Micro Area","8,609","7,715","14,050","6,335",942,"1,242",-300,"1,061",767,"1,486",719,296,81,215
".Moultrie, GA Micro Area",104,"1,765","6,136","4,371","-1,647",138,"-1,785",145,134,605,471,11,-18,29
".Mountain Home, AR Micro Area",421,"-2,988","3,244","6,232","3,427",20,"3,407",308,-346,349,695,655,-1,656
".Mountain Home, ID Micro Area",471,"2,617","4,302","1,685","-2,201","1,131","-3,332",149,261,456,195,-113,40,-153
".Mount Airy, NC Micro Area","-1,966","-1,114","6,974","8,088",-802,301,"-1,103",-176,-138,736,874,-32,40,-72
".Mount Gay-Shamrock, WV Micro Area","-4,735","-1,318","3,631","4,949","-3,441",-13,"-3,428",-590,-138,349,487,-453,-1,-452
".Mount Pleasant, MI Micro Area",-441,"1,762","6,129","4,367","-2,256","1,819","-4,075",-591,200,660,460,-800,121,-921
".Mount Pleasant, TX Micro Area","1,109","2,468","6,319","3,851","-1,362",628,"-1,990",118,256,651,395,-139,-3,-136
".Mount Sterling, KY Micro Area","2,743","1,061","5,716","4,655","1,697",-56,"1,753",156,62,605,543,97,-12,109
".Mount Vernon, IL Micro Area","-1,141",263,"4,413","4,150","-1,384",267,"-1,651",-24,7,452,445,-30,14,-44
".Mount Vernon, OH Micro Area","1,394","1,064","6,777","5,713",356,-3,359,422,111,741,630,314,-5,319
".Murray, KY Micro Area","1,811",-85,"3,545","3,630","1,896","1,131",765,37,-48,359,407,85,14,71
".Muscatine, IA Micro Area",-139,"1,349","5,002","3,653","-1,485",728,"-2,213",-210,154,526,372,-365,47,-412
".Muskogee, OK Micro Area","-3,000",-176,"8,395","8,571","-2,810",155,"-2,965",-327,-85,821,906,-243,7,-250
".Nacogdoches, TX Micro Area",680,"2,675","7,926","5,251","-2,014",516,"-2,530",43,166,770,604,-123,2,-125
".Natchez, MS-LA Micro Area","-3,170",-175,"5,873","6,048","-3,043","1,455","-4,498",-678,-74,594,668,-606,143,-749
".Natchitoches, LA Micro Area","-1,411","1,096","4,785","3,689","-2,496",169,"-2,665",-458,70,468,398,-528,23,-551
".Newberry, SC Micro Area",930,25,"4,014","3,989",933,121,812,-3,-59,395,454,57,-1,58
".New Castle, IN Micro Area","-1,494","-1,032","4,326","5,358",-428,29,-457,-159,-101,448,549,-56,4,-60
".New Castle, PA Micro Area","-5,645","-2,383","8,207","10,590","-3,229",196,"-3,425",-616,-227,863,"1,090",-387,9,-396
".New Philadelphia-Dover, OH Micro Area",-598,937,"10,494","9,557","-1,472",638,"-2,110",-92,50,"1,098","1,048",-137,26,-163
".Newport, OR Micro Area","3,929","-1,541","3,903","5,444","5,428",150,"5,278",738,-224,385,609,959,0,959
".Newport, TN Micro Area",362,"-1,106","3,510","4,616","1,496",-47,"1,543",146,-135,361,496,282,-10,292
".New Ulm, MN Micro Area",-885,-173,"2,535","2,708",-705,93,-798,-117,1,276,275,-117,8,-125
".Nogales, AZ Micro Area",-922,"3,314","5,987","2,673","-4,313",795,"-5,108",103,303,619,316,-201,56,-257
".Norfolk, NE Micro Area",-103,"1,875","6,242","4,367","-1,980",741,"-2,721",-137,178,652,474,-319,74,-393
".North Platte, NE Micro Area","-1,434",640,"4,058","3,418","-2,082",180,"-2,262",-237,67,423,356,-305,19,-324
".North Vernon, IN Micro Area",-794,438,"3,131","2,693","-1,229",-17,"-1,212",56,36,338,302,22,-1,23
".North Wilkesboro, NC Micro Area",-898,"-1,032","6,284","7,316",206,333,-127,-151,-147,670,817,2,52,-50
".Norwalk, OH Micro Area","-1,357","1,351","6,761","5,410","-2,722",167,"-2,889",-98,109,698,589,-206,-4,-202
".Oak Harbor, WA Micro Area","6,633","1,947","8,445","6,498","4,661","1,580","3,081",914,154,916,762,759,59,700
".Ogdensburg-Massena, NY Micro Area","-4,200","1,356","10,627","9,271","-5,584","1,241","-6,825",-587,-94,988,"1,082",-495,96,-591
".Oil City, PA Micro Area","-4,320","-1,209","4,867","6,076","-3,102",15,"-3,117",-533,-228,452,680,-305,1,-306
".Okeechobee, FL Micro Area","2,172",927,"4,912","3,985","1,256",666,590,514,95,542,447,419,61,358
".Olean, NY Micro Area","-4,220",482,"8,188","7,706","-4,720",230,"-4,950",-609,-47,801,848,-560,5,-565
".Oneonta, NY Micro Area","-2,785",-871,"4,770","5,641","-1,893",338,"-2,231",-317,-163,485,648,-149,25,-174
".Ontario, OR-ID Micro Area",584,"2,074","6,750","4,676","-1,491",-361,"-1,130",462,228,702,474,235,-48,283
".Opelousas, LA Micro Area","-1,266","2,754","11,659","8,905","-3,972",12,"-3,984",-658,94,"1,111","1,017",-750,6,-756
".Orangeburg, SC Micro Area","-6,333",-169,"9,641","9,810","-6,179",317,"-6,496",-838,-204,950,"1,154",-631,24,-655
".Oskaloosa, IA Micro Area",-287,462,"2,573","2,111",-740,211,-951,77,49,266,217,30,15,15
".Othello, WA Micro Area","1,252","2,581","3,664","1,083","-1,346",225,"-1,571",247,288,388,100,-41,24,-65
".Ottawa, IL Micro Area","-7,870","-1,525","14,631","16,156","-6,322",555,"-6,877",-818,-205,"1,485","1,690",-611,47,-658
".Ottawa, KS Micro Area",-452,491,"2,894","2,403",-936,89,"-1,025",-81,45,295,250,-127,9,-136
".Ottumwa, IA Micro Area",-655,294,"4,056","3,762",-928,953,"-1,881",-22,44,436,392,-67,87,-154
".Owatonna, MN Micro Area",68,"1,354","4,164","2,810","-1,292",41,"-1,333",-89,83,391,308,-172,-6,-166
".Oxford, MS Micro Area","6,658","1,544","5,037","3,493","4,974",356,"4,618",477,118,513,395,361,19,342
".Ozark, AL Micro Area","-1,079","1,525","6,137","4,612","-2,604",702,"-3,306",29,102,648,546,-71,18,-89
".Paducah, KY-IL Micro Area","-2,463","-1,203","10,317","11,520","-1,191",37,"-1,228",-294,-179,"1,042","1,221",-109,-12,-97
".Pahrump, NV Micro Area","2,578","-2,948","3,443","6,391","5,505",-328,"5,833","1,337",-356,379,735,"1,684",-63,"1,747"
".Palatka, FL Micro Area",144,"-1,310","7,753","9,063","1,492",89,"1,403",478,-207,826,"1,033",681,-24,705
".Palestine, TX Micro Area",-717,-752,"5,460","6,212",67,293,-226,-239,-166,588,754,-72,32,-104
".Pampa, TX Micro Area",-726,472,"2,963","2,491","-1,232",90,"-1,322",-209,4,267,263,-216,-1,-215
".Paragould, AR Micro Area","3,235",840,"5,289","4,449","2,396",48,"2,348",-14,82,587,505,-94,-7,-87
".Paris, TN Micro Area",-4,"-1,216","3,046","4,262","1,241",21,"1,220",9,-181,300,481,192,-5,197
".Paris, TX Micro Area",68,388,"6,062","5,674",-303,31,-334,130,-42,619,661,174,2,172
".Parsons, KS Micro Area","-1,991",35,"2,466","2,431","-2,042",12,"-2,054",-288,26,248,222,-315,-3,-312
".Payson, AZ Micro Area",426,"-1,531","5,452","6,983","1,994",212,"1,782",217,-297,514,811,513,9,504
".Pearsall, TX Micro Area","3,089","1,071","2,322","1,251","2,001","1,825",176,95,93,251,158,1,236,-235
".Pecos, TX Micro Area","2,280",745,"1,730",985,"1,496",620,876,484,81,187,106,401,51,350
".Pella, IA Micro Area",-54,258,"3,364","3,106",-306,100,-406,-6,13,340,327,-19,4,-23
".Peru, IN Micro Area","-1,389",57,"3,454","3,397","-1,453",128,"-1,581",-130,18,382,364,-149,26,-175
".Picayune, MS Micro Area",-204,-31,"5,861","5,892",-151,-200,49,212,-71,610,681,285,-30,315
".Pierre, SD Micro Area",636,"1,025","2,531","1,506",-388,-33,-355,-76,97,265,168,-174,-2,-172
".Pinehurst-Southern Pines, NC Micro Area","12,630",-387,"9,688","10,075","12,924",799,"12,125","2,075",-30,"1,139","1,169","2,101",78,"2,023"
".Pittsburg, KS Micro Area",-317,659,"4,479","3,820",-970,963,"-1,933",-93,87,448,361,-183,85,-268
".Plainview, TX Micro Area","-2,800","1,667","4,510","2,843","-4,540",142,"-4,682",-225,128,427,299,-354,0,-354
".Platteville, WI Micro Area",235,610,"5,137","4,527",-391,209,-600,-5,90,561,471,-93,10,-103
".Plattsburgh, NY Micro Area","-1,646",595,"7,100","6,505","-2,229",779,"-3,008",-194,12,756,744,-204,49,-253
".Plymouth, IN Micro Area",-792,"1,158","5,419","4,261","-1,949",329,"-2,278",-38,105,582,477,-143,56,-199
".Point Pleasant, WV-OH Micro Area","-1,876",-644,"6,006","6,650","-1,216",162,"-1,378",-283,-141,615,756,-137,13,-150
".Ponca City, OK Micro Area","-3,024",216,"5,610","5,394","-3,237",19,"-3,256",-406,-39,537,576,-365,-2,-363
".Pontiac, IL Micro Area","-3,297",-135,"3,852","3,987","-3,221",276,"-3,497",-66,10,422,412,-74,32,-106
".Poplar Bluff, MO Micro Area","-1,132",-395,"6,594","6,989",-685,-15,-670,-241,-135,635,770,-106,1,-107
".Portales, NM Micro Area","-1,340","1,195","2,596","1,401","-2,592",368,"-2,960",-259,108,253,145,-369,34,-403
".Port Angeles, WA Micro Area","5,935","-2,818","6,116","8,934","8,734",503,"8,231",780,-429,632,"1,061","1,206",44,"1,162"
".Port Lavaca, TX Micro Area",-92,757,"2,649","1,892",-845,281,"-1,126",-214,44,262,218,-259,8,-267
".Portsmouth, OH Micro Area","-4,336",-891,"8,120","9,011","-3,446",219,"-3,665",-166,-133,825,958,-31,8,-39
".Pottsville, PA Micro Area","-6,931","-5,037","12,805","17,842","-1,787",464,"-2,251",-456,-496,"1,282","1,778",50,23,27
".Price, UT Micro Area",-940,519,"2,560","2,041","-1,482",68,"-1,550",230,47,231,184,182,2,180
".Prineville, OR Micro Area","3,426",-309,"1,983","2,292","3,708",-54,"3,762",579,-7,259,266,585,-11,596
".Pullman, WA Micro Area","5,326","1,551","3,984","2,433","3,691","3,739",-48,421,151,390,239,272,393,-121
".Quincy, IL-MO Micro Area","-2,095",207,"8,627","8,420","-2,266",215,"-2,481",-251,-52,901,953,-196,16,-212
".Raymondville, TX Micro Area",-778,"1,176","2,724","1,548","-1,965",112,"-2,077",-92,69,252,183,-163,5,-168
".Red Bluff, CA Micro Area","1,644","1,179","7,041","5,862",505,-131,636,"1,066",78,739,661,985,-29,"1,014"
".Red Wing, MN Micro Area",156,346,"4,745","4,399",-162,110,-272,41,49,503,454,-7,3,-10
".Rexburg, ID Micro Area","2,221","9,669","11,868","2,199","-7,529",301,"-7,830",590,"1,058","1,291",233,-463,-7,-456
".Richmond, IN Micro Area","-3,112",-628,"7,229","7,857","-2,466",303,"-2,769",-162,-109,757,866,-52,70,-122
".Richmond-Berea, KY Micro Area","9,501","2,067","10,636","8,569","7,365",653,"6,712",836,169,"1,123",954,668,3,665
".Rio Grande City-Roma, TX Micro Area","3,666","8,374","12,035","3,661","-4,744",754,"-5,498",384,778,"1,178",400,-397,-10,-387
".Riverton, WY Micro Area",-862,"1,255","5,266","4,011","-2,137",-32,"-2,105",-300,20,505,485,-319,-3,-316
".Roanoke Rapids, NC Micro Area","-7,237","-1,706","7,040","8,746","-5,551",194,"-5,745",-839,-290,713,"1,003",-549,16,-565
".Rochelle, IL Micro Area","-2,847",275,"4,920","4,645","-3,154",122,"-3,276",-138,30,525,495,-167,5,-172
".Rockingham, NC Micro Area","-1,818",42,"5,087","5,045","-1,849",34,"-1,883",-59,3,559,556,-61,3,-64
".Rockport, TX Micro Area",352,-969,"2,240","3,209","1,255",-18,"1,273",64,-172,193,365,236,-11,247
".Rock Springs, WY Micro Area","-1,463","2,909","5,555","2,646","-4,461",59,"-4,520",-515,208,506,298,-727,23,-750
".Rolla, MO Micro Area",-551,669,"4,748","4,079","-1,246","1,736","-2,982",22,40,461,421,-18,173,-191
".Roseburg, OR Micro Area","3,296","-3,255","10,023","13,278","6,637",-47,"6,684",866,-408,"1,065","1,473","1,274",-35,"1,309"
".Roswell, NM Micro Area","-1,033","2,282","8,366","6,084","-3,293",509,"-3,802",61,184,819,635,-122,26,-148
".Ruidoso, NM Micro Area",-921,-229,"1,689","1,918",-695,138,-833,54,-33,174,207,89,18,71
".Russellville, AR Micro Area","1,477","2,092","9,877","7,785",-606,681,"-1,287",357,186,"1,023",837,172,9,163
".Ruston, LA Micro Area",2,"1,711","5,230","3,519","-1,716","1,202","-2,918",-370,99,516,417,-471,85,-556
".Rutland, VT Micro Area","-3,469","-1,379","4,906","6,285","-2,077",113,"-2,190",-405,-171,498,669,-234,8,-242
".Safford, AZ Micro Area","1,625","2,507","5,180","2,673",-910,322,"-1,232",842,203,526,323,637,30,607
".St. Marys, GA Micro Area","4,154","4,249","7,342","3,093",-117,559,-676,"1,015",396,768,372,616,-29,645
".St. Marys, PA Micro Area","-2,036",-819,"2,772","3,591","-1,210",11,"-1,221",-200,-91,268,359,-108,1,-109
".Salem, OH Micro Area","-5,969","-1,480","9,886","11,366","-4,458",69,"-4,527",-590,-204,982,"1,186",-383,-1,-382
".Salina, KS Micro Area","-1,767","1,692","7,285","5,593","-3,444",191,"-3,635",-211,164,721,557,-375,3,-378
".Sandpoint, ID Micro Area","4,862",-133,"3,769","3,902","4,969",21,"4,948","1,034",-12,426,438,"1,044",-13,"1,057"
".Sandusky, OH Micro Area","-2,797","-1,347","7,282","8,629","-1,405",193,"-1,598",-247,-138,778,916,-106,-6,-100
".Sanford, NC Micro Area","3,930","2,196","7,321","5,125","1,751",599,"1,152",571,211,774,563,360,56,304
".Sault Ste. Marie, MI Micro Area","-1,323",-114,"3,195","3,309","-1,224",274,"-1,498",-112,-56,318,374,-54,3,-57
".Sayre, PA Micro Area","-2,377",162,"6,539","6,377","-2,535",198,"-2,733",-471,-93,632,725,-377,16,-393
".Scottsbluff, NE Micro Area","-1,442",754,"4,666","3,912","-2,201",200,"-2,401",-307,81,475,394,-387,23,-410
".Scottsboro, AL Micro Area","-1,597","-1,121","5,239","6,360",-431,147,-578,5,-113,562,675,121,-7,128
".Scottsburg, IN Micro Area",-322,-272,"2,583","2,855",-44,107,-151,89,-48,262,310,137,20,117
".Searcy, AR Micro Area","1,667","1,266","8,890","7,624",419,272,147,372,44,881,837,333,-27,360
".Sedalia, MO Micro Area",125,"1,359","5,384","4,025","-1,209",288,"-1,497",-102,153,577,424,-255,15,-270
".Selinsgrove, PA Micro Area",651,632,"3,904","3,272",56,141,-85,-146,41,426,385,-186,5,-191
".Selma, AL Micro Area","-6,617",-178,"4,760","4,938","-6,484",6,"-6,490","-1,098",-104,438,542,-997,5,"-1,002"
".Seneca, SC Micro Area","5,261","-1,048","7,071","8,119","6,311",918,"5,393","1,239",-257,701,958,"1,493",150,"1,343"
".Seneca Falls, NY Micro Area","-1,232",204,"3,351","3,147","-1,431",126,"-1,557",-163,5,318,313,-167,8,-175
".Sevierville, TN Micro Area","8,530",410,"9,656","9,246","8,085","1,395","6,690",355,-38,"1,025","1,063",399,169,230
".Seymour, IN Micro Area","1,855","1,167","5,431","4,264",708,908,-200,163,135,591,456,29,114,-85
".Shawano, WI Micro Area",-732,295,"4,900","4,605","-1,005",192,"-1,197",89,88,533,445,4,8,-4
".Shawnee, OK Micro Area","3,149",756,"8,357","7,601","2,427",239,"2,188",79,5,846,841,78,20,58
".Shelby, NC Micro Area",-85,-922,"9,997","10,919",916,463,453,428,-117,"1,102","1,219",548,44,504
".Shelbyville, TN Micro Area","4,656","1,474","5,848","4,374","3,185",657,"2,528",567,196,678,482,371,88,283
".Shelton, WA Micro Area","6,079",-144,"5,926","6,070","6,237","1,032","5,205","1,388",-3,666,669,"1,388",130,"1,258"
".Sheridan, WY Micro Area","1,361",104,"3,026","2,922","1,270",140,"1,130",266,-38,308,346,303,14,289
".Show Low, AZ Micro Area","3,436","5,361","14,474","9,113","-1,895",514,"-2,409",682,330,"1,447","1,117",355,44,311
".Sidney, OH Micro Area",-865,"1,574","5,683","4,109","-2,460",551,"-3,011",-32,171,613,442,-205,34,-239
".Sikeston, MO Micro Area",-919,651,"4,643","3,992","-1,545",30,"-1,575",-261,28,482,454,-286,-6,-280
".Silver City, NM Micro Area","-2,514",-367,"2,765","3,132","-2,131",58,"-2,189",-305,-69,256,325,-231,-10,-221
".Snyder, TX Micro Area",-216,633,"2,232","1,599",-853,81,-934,-109,21,203,182,-130,6,-136
".Somerset, KY Micro Area","1,918",-475,"6,922","7,397","2,449",225,"2,224",395,-36,755,791,432,-2,434
".Somerset, PA Micro Area","-4,284","-2,723","6,235","8,958","-1,498",260,"-1,758",-425,-300,638,938,-120,17,-137
